FAKE_ACCTCODE,OPT_IN_DATE,FUEL_ONLY_PARENT_ACCT,CLI_AMOUNT,FLEETCOR_OPEN_DATE,CITY,STATE,ZIP,TERM_DAYS,DUE_DAYS,LOCK_DAYS,CREDIT_LIMIT,LOCK_CODE,LOCK_REASON,LOCK_TYPE,DEPOSIT_FLAG,PORTFOLIO,LOB_REPORTING,YEARMONTH,GALLONS,FUEL_SPEND,NONFUEL_SPEND,TOT_SPEND,PAYMENT_AMOUNT,NO_OF_PAYMENT,SNAPSHOT_DATE,CURRENT_BALANCE,UNBILLED_BALANCE,DAYS_PAST_DUE,BAL_1_30,BAL_31_60,BAL_61_90,BAL_90_PLUS
111677,3/15/2022,0,29500.00,7/22/2020,NEWARK,OH,43055,7,7,5,20000,N,NSF,TEMP LOCK,1,FMMC,NAL MC,202210,1115.923,4593.49,13211.61,17805.1,17497.9,4,44835,0,0,0,0,0,0,0
111762,11/29/2021,0,53000.00,7/30/2020,ORANGE,CA,92865,15,14,10,4200,S,S-LOCK,TEMP LOCK,1,ARMC,NAP,202210,800.265,4507.04,7.98,4515.02,3107.26,1,44835,0,1417.87,0,0,0,0,0
112359,2/5/2022,0,4000.00,9/23/2020,JACKSON,TN,38301,15,13,3,200,Z,UNLOCKED,UNLOCKED,0,FMMC,NAL MC,202210,0,0,4286.71,4286.71,1573.09,1,44835,0,0,0,0,0,0,0
112756,12/10/2021,0,4000.00,10/29/2020,TICKFAW,LA,70466,7,5,7,4000,A,Other,PERM LOCK,0,BPMC,NAP,202210,483.582,2377.44,4.94,2382.38,918.4,3,44835,0,0,0,0,0,0,0
113153,4/13/2022,0,51500.00,11/21/2020,TAMPA,FL,33612,30,14,18,51500,Z,UNLOCKED,UNLOCKED,1,BPMC,NAP,202210,282,1026.19,20357.55,21383.74,18623.45,1,44835,0,17867.1,0,0,0,0,0
117610,7/18/2022,0,3500.00,4/23/2021,LOGANVILLE,GA,30052,30,14,5,1200,Z,UNLOCKED,UNLOCKED,1,BPMC,NAP,202210,67.668,229.26,329.4,558.66,1377.7,3,44835,-105.03,671.03,0,0,0,0,0
118115,4/20/2023,0,1680.00,5/7/2021,CINCINNATI,OH,45240,30,14,18,1350,Z,UNLOCKED,UNLOCKED,1,BPMC,NAP,202210,42.518,172.31,0,172.31,559.97,3,44835,0,0,0,0,0,0,0
118349,8/24/2022,0,4000.00,5/12/2021,CINCINNATI,OH,45224,30,14,10,4000,Z,UNLOCKED,UNLOCKED,1,BPMC,NAP,202210,0,0,81.57,81.57,12,1,44835,0,0,0,0,0,0,0
122253,7/12/2022,0,4000.00,7/27/2021,PEMBROKE PINES,FL,33027,30,15,10,4000,Z,UNLOCKED,UNLOCKED,0,FMMC,NAL MC,202211,9.53,31.74,666.04,697.78,60,2,44835,0,857.51,0,0,0,0,0
122360,11/9/2022,0,4000.00,7/28/2021,DURHAM,NC,27705,30,14,7,500,Z,UNLOCKED,UNLOCKED,1,BPMC,NAP,202210,81.89,300.21,0,300.21,713.86,1,44835,0,55.11,0,0,0,0,0
122554,8/4/2022,0,3500.00,7/30/2021,COLUMBIA,SC,29223,30,14,18,200,I,BAD AGENCY,PERM LOCK,1,BPMC,NAP,202210,38.69,160.02,0,160.02,322.49,1,44835,0,55.11,0,0,0,0,0
122683,9/16/2022,0,5500.00,7/31/2021,BALTIMORE,MD,21212,7,7,5,1000,I,BAD AGENCY,PERM LOCK,1,BPMC,NAP,202210,51.16,193.8,1175.78,1369.58,860.55,4,44835,0,55.11,0,0,0,0,0
122848,10/20/2022,0,4500.00,8/4/2021,RALEIGH,NC,27606,30,14,7,2100,I,BAD AGENCY,PERM LOCK,1,BPMC,NAP,202210,0,0,2808,2808,3227.68,3,44835,0,55.11,0,0,0,0,0
126827,10/5/2022,0,3000.00,10/2/2021,CHESAPEAKE,VA,23321,30,14,5,1500,Q,INACTIVE,PERM LOCK,1,BPMC,NAP,202210,0,0,2805.99,2805.99,1129.63,4,44835,0,0,0,0,0,0,0
131242,12/21/2022,0,10000.00,12/8/2021,CLEARWATER,FL,33764,30,15,18,1500,Z,UNLOCKED,UNLOCKED,1,FMMC,NAL MC,202210,137.171,457.13,2069.18,2526.31,1754.95,1,44835,0,0,0,0,0,0,0
136207,3/5/2023,0,7500.00,2/23/2022,GOSHEN,NY,10924,15,14,7,3500,Z,UNLOCKED,UNLOCKED,1,BPMC,NAP,202210,69.376,264.64,0,264.64,274.64,3,44835,0,0,0,0,0,0,0
142896,12/7/2022,0,3000.00,5/27/2022,KINGWOOD,TX,77339,30,14,5,500,A,Other,PERM LOCK,1,BPMC,NAP,202210,71.62,220.76,0,220.76,575,1,45231,0,0,0,0,0,0,0
144673,1/24/2023,0,3000.00,6/23/2022,MOREHEAD CITY,NC,28557,30,14,10,3000,B,Fraud / Suspicious Activity,PERM LOCK,1,SWMC,NAP,202210,151.33,522.55,0,522.55,529.16,1,44835,0,0,0,0,0,0,0
150968,12/27/2022,0,3000.00,7/19/2022,CHARLOTTE,NC,28215,15,13,3,3000,S,S-LOCK,TEMP LOCK,1,FMMC,NAL MC,202210,342.975,1196.19,0,1196.19,2017.76,3,44835,9545.96,920.23,0,0,0,0,0
152161,2/17/2023,0,10000.00,8/16/2022,PROSPERITY,SC,29127,15,14,10,10000,B,Fraud / Suspicious Activity,PERM LOCK,1,BPMC,NAP,202210,141.653,530.87,0,530.87,1731.81,2,44986,9545.96,920.23,0,0,0,0,0
154291,9/1/2022,0,3000.00,8/26/2022,DUSON,LA,70529,7,7,3,2750,I,BAD AGENCY,PERM LOCK,1,FMMC,NAL MC,202210,767.018,3407.44,779.61,4187.05,4200.92,4,44835,9545.96,920.23,0,0,0,0,0
